week_date,regime_int,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2010-11-15,0.0,NORMAL,0.999903201339779,1.9865246242969853e-13,0.0,9.679865952923911e-05
2010-11-22,0.0,NORMAL,0.9999716150022787,4.0437250829923045e-14,0.0,2.8384997663776155e-05
2010-11-29,0.0,NORMAL,0.9999611903677367,2.0657795322238574e-13,0.0,3.880963213342709e-05
2010-12-06,0.0,NORMAL,0.9997581046184286,1.1953321815263422e-11,0.0,0.0002418953703007527
2010-12-13,0.0,NORMAL,0.9988423144274029,1.6628384248443163e-11,0.0,0.001157685556002603
2010-12-20,0.0,NORMAL,0.9999626948857426,2.52236117094361e-13,0.0,3.7305113402665584e-05
2010-12-27,0.0,NORMAL,0.9998153555129238,3.2097862437489483e-13,0.0,0.00018464448734492557
2011-01-03,0.0,NORMAL,0.9999025754208314,1.0825134594735783e-13,0.0,9.74245798575774e-05
2011-01-10,0.0,NORMAL,0.999968713120461,5.436159218446379e-14,0.0,3.128688035011427e-05
2011-01-17,0.0,NORMAL,0.9998955600285565,4.453179465750133e-14,0.0,0.00010443997075388488
2011-01-24,0.0,NORMAL,0.9999595502954644,1.092459876677913e-13,0.0,4.044970448590435e-05
2011-01-31,0.0,NORMAL,0.9999170611989885,1.614053872142779e-13,0.0,8.293880088871373e-05
2011-02-07,0.0,NORMAL,0.9999550875972626,2.136498476574796e-11,0.0,4.491238166039167e-05
2011-02-14,0.0,NORMAL,0.9931257711922749,2.649840896869254e-09,0.0,0.006874226158316611
2011-02-21,0.0,NORMAL,0.9051488601939083,3.010445892136713e-09,0.0,0.09485113679629835
2011-02-28,0.0,NORMAL,0.5112524146168828,1.1580973847463942e-10,0.0,0.4887475852679004
2011-03-07,3.0,SUPPLY_SHOCK_3,1.1098600570980596e-05,7.717947849769459e-05,0.0,0.9999117219217712
2011-03-14,3.0,SUPPLY_SHOCK_3,0.0004904924277696354,9.274932046517858e-07,0.0,0.9995085800783164
2011-03-21,3.0,SUPPLY_SHOCK_3,0.0001005592268398805,7.828160134548496e-07,0.0,0.9998986579580459
2011-03-28,3.0,SUPPLY_SHOCK_3,0.004612439116129846,1.5992245268518474e-07,0.0,0.9953874009606472
2011-04-04,0.0,NORMAL,0.7335979320570045,1.3159919574018241e-08,0.0,0.26640205478324663
2011-04-11,0.0,NORMAL,0.9062227285999979,5.602606476961453e-08,0.0,0.09377721537343965
2011-04-18,0.0,NORMAL,0.9549942495231747,7.49757067033195e-09,0.0,0.045005742979155286
2011-04-25,0.0,NORMAL,0.9568227287970208,1.8277260802819192e-09,0.0,0.04317726937502242
2011-05-02,0.0,NORMAL,0.9646568977778622,5.389157313381712e-10,0.0,0.035343101682336474
2011-05-09,0.0,NORMAL,0.8993329045045861,8.106361919192776e-10,0.0,0.10066709468418514
2011-05-16,3.0,SUPPLY_SHOCK_3,0.0778349544411455,8.467458419354951e-10,0.0,0.9221650447129639
2011-05-23,3.0,SUPPLY_SHOCK_3,0.00030620590806339866,1.7491779240603755e-11,0.0,0.9996937940748168
2011-05-30,3.0,SUPPLY_SHOCK_3,1.3240124976891502e-05,1.1236174438245526e-09,0.0,0.999986758750665
2011-06-06,3.0,SUPPLY_SHOCK_3,0.00030629887872704245,4.722659071637005e-09,0.0,0.9996936963977243
2011-06-13,3.0,SUPPLY_SHOCK_3,0.000349583378347247,8.75235642087196e-10,0.0,0.9996504157469215
2011-06-20,3.0,SUPPLY_SHOCK_3,0.0003565504669582674,3.733536340852172e-09,0.0,0.9996434458003638
2011-06-27,3.0,SUPPLY_SHOCK_3,0.015552659919953004,1.3630332106296964e-09,0.0,0.9844473387177849
2011-07-04,3.0,SUPPLY_SHOCK_3,0.07600652912579588,1.390788059531083e-10,0.0,0.9239934707354415
2011-07-11,3.0,SUPPLY_SHOCK_3,0.08508913804871046,3.6741540556687657e-09,0.0,0.9149108582773543
2011-07-18,3.0,SUPPLY_SHOCK_3,0.06958734970418019,9.510193056748679e-09,0.0,0.9304126407856312
2011-07-25,3.0,SUPPLY_SHOCK_3,0.06938972355438264,4.751513933390579e-09,0.0,0.9306102716944818
2011-08-01,3.0,SUPPLY_SHOCK_3,0.04899671589893974,1.4445270391473185e-08,0.0,0.951003269655056
2011-08-08,3.0,SUPPLY_SHOCK_3,0.030960650349510215,5.271813119085437e-09,0.0,0.9690393443784477
2011-08-15,3.0,SUPPLY_SHOCK_3,0.00024323604946275513,3.762026731132722e-10,0.0,0.9997567635737193
